date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
10.08.2014,15:00,Wuppertaler SV,SV Sonsbeck,2.111,1,1,/spielbericht/index/spielbericht/2466641,2014,Oberliga Niederrhein
17.08.2014,15:00,SSVg Velbert 02,Wuppertaler SV,2.500,0,4,/spielbericht/index/spielbericht/2466652,2014,Oberliga Niederrhein
24.08.2014,15:00,Wuppertaler SV,Kapellen-Erft,1.960,3,1,/spielbericht/index/spielbericht/2467815,2014,Oberliga Niederrhein
31.08.2014,15:00,Jahn Hiesfeld,Wuppertaler SV,748,1,1,/spielbericht/index/spielbericht/2467822,2014,Oberliga Niederrhein
17.09.2014,19:30,Wuppertaler SV,SF Baumberg,1.533,3,1,/spielbericht/index/spielbericht/2479967,2014,Oberliga Niederrhein
21.09.2014,13:30,TuRU Düsseldorf,Wuppertaler SV,530,3,1,/spielbericht/index/spielbericht/2479991,2014,Oberliga Niederrhein
24.09.2014,19:30,Wuppertaler SV,MSV Duisburg II,1.272,2,0,/spielbericht/index/spielbericht/2480005,2014,Oberliga Niederrhein
28.09.2014,14:00,VfR Fischeln,Wuppertaler SV,828,1,3,/spielbericht/index/spielbericht/2480017,2014,Oberliga Niederrhein
05.10.2014,15:00,Wuppertaler SV,SV Hö/Nie,2.077,5,1,/spielbericht/index/spielbericht/2480324,2014,Oberliga Niederrhein
22.11.2014,14:00,VfB Homberg,Wuppertaler SV,800,1,2,/spielbericht/index/spielbericht/2480334,2014,Oberliga Niederrhein
26.10.2014,15:00,Nievenheim,Wuppertaler SV,1.000,0,2,/spielbericht/index/spielbericht/2480910,2014,Oberliga Niederrhein
02.11.2014,14:30,Wuppertaler SV,Oberhausen II,2.297,1,1,/spielbericht/index/spielbericht/2480922,2014,Oberliga Niederrhein
09.11.2014,14:30,SW Essen,Wuppertaler SV,800,0,1,/spielbericht/index/spielbericht/2480929,2014,Oberliga Niederrhein
16.11.2014,14:30,Wuppertaler SV,Ratingen 04/19,1.924,1,2,/spielbericht/index/spielbericht/2480940,2014,Oberliga Niederrhein
30.11.2014,14:30,VfB Hilden,Wuppertaler SV,900,0,3,/spielbericht/index/spielbericht/2480954,2014,Oberliga Niederrhein
07.12.2014,14:15,Wuppertaler SV,1.FC Bocholt,2.798,1,0,/spielbericht/index/spielbericht/2480958,2014,Oberliga Niederrhein
14.12.2014,14:15,Bösinghoven,Wuppertaler SV,675,0,2,/spielbericht/index/spielbericht/2480969,2014,Oberliga Niederrhein
22.02.2015,15:00,SV Sonsbeck,Wuppertaler SV,1.100,1,0,/spielbericht/index/spielbericht/2480976,2014,Oberliga Niederrhein
01.03.2015,15:00,Wuppertaler SV,SSVg Velbert 02,7.525,3,3,/spielbericht/index/spielbericht/2480985,2014,Oberliga Niederrhein
08.03.2015,15:00,Kapellen-Erft,Wuppertaler SV,1.187,1,1,/spielbericht/index/spielbericht/2480994,2014,Oberliga Niederrhein
15.03.2015,15:00,Wuppertaler SV,Jahn Hiesfeld,1.740,5,0,/spielbericht/index/spielbericht/2482763,2014,Oberliga Niederrhein
22.03.2015,15:00,SF Baumberg,Wuppertaler SV,1.345,0,0,/spielbericht/index/spielbericht/2482774,2014,Oberliga Niederrhein
29.03.2015,15:00,Wuppertaler SV,TuRU Düsseldorf,1.400,3,2,/spielbericht/index/spielbericht/2482887,2014,Oberliga Niederrhein
23.04.2015,19:30,MSV Duisburg II,Wuppertaler SV,777,1,1,/spielbericht/index/spielbericht/2482873,2014,Oberliga Niederrhein
06.04.2015,15:00,Wuppertaler SV,VfR Fischeln,1.714,2,1,/spielbericht/index/spielbericht/2482867,2014,Oberliga Niederrhein
12.04.2015,15:00,SV Hö/Nie,Wuppertaler SV,600,2,3,/spielbericht/index/spielbericht/2482855,2014,Oberliga Niederrhein
19.04.2015,15:00,Wuppertaler SV,VfB Homberg,1.624,3,1,/spielbericht/index/spielbericht/2482847,2014,Oberliga Niederrhein
