date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
11.07.2014,19:00,B. München II,Würzburger Kickers,946,1,2,/spielbericht/index/spielbericht/2467067,2014,Regionalliga Bayern
15.07.2014,18:30,Würzburger Kickers,SV Schalding,1.610,2,0,/spielbericht/index/spielbericht/2467252,2014,Regionalliga Bayern
19.07.2014,14:00,Nürnberg II,Würzburger Kickers,305,1,1,/spielbericht/index/spielbericht/2467266,2014,Regionalliga Bayern
25.07.2014,18:30,Würzburger Kickers,FC Memmingen,1.516,4,0,/spielbericht/index/spielbericht/2467269,2014,Regionalliga Bayern
01.08.2014,18:30,Würzburger Kickers,W. Burghausen,2.833,4,0,/spielbericht/index/spielbericht/2467279,2014,Regionalliga Bayern
08.08.2014,19:00,SV Heimstetten,Würzburger Kickers,490,1,2,/spielbericht/index/spielbericht/2467288,2014,Regionalliga Bayern
29.07.2014,18:30,Würzburger Kickers,TSV Buchbach,1.725,5,0,/spielbericht/index/spielbericht/2467296,2014,Regionalliga Bayern
07.10.2014,19:30,Schweinfurt 05,Würzburger Kickers,5.273,0,2,/spielbericht/index/spielbericht/2467313,2014,Regionalliga Bayern
29.08.2014,18:00,Würzburger Kickers,1860 München II,4.580,0,2,/spielbericht/index/spielbericht/2467314,2014,Regionalliga Bayern
05.09.2014,19:00,FC Augsburg II,Würzburger Kickers,400,0,3,/spielbericht/index/spielbericht/2467327,2014,Regionalliga Bayern
13.09.2014,14:00,Würzburger Kickers,Ingolstadt II,1.637,1,1,/spielbericht/index/spielbericht/2467338,2014,Regionalliga Bayern
20.09.2014,14:00,FV Illertissen,Würzburger Kickers,650,0,0,/spielbericht/index/spielbericht/2467347,2014,Regionalliga Bayern
27.09.2014,14:00,Würzburger Kickers,Seligenporten,1.207,4,0,/spielbericht/index/spielbericht/2467356,2014,Regionalliga Bayern
02.10.2014,19:30,Eintr. Bamberg,Würzburger Kickers,945,0,0,/spielbericht/index/spielbericht/2467364,2014,Regionalliga Bayern
11.10.2014,14:00,Würzburger Kickers,VfR Garching,1.460,3,1,/spielbericht/index/spielbericht/2467374,2014,Regionalliga Bayern
18.10.2014,14:00,Gr. Fürth II,Würzburger Kickers,286,0,1,/spielbericht/index/spielbericht/2467381,2014,Regionalliga Bayern
24.10.2014,19:00,Würzburger Kickers,SpVgg Bayreuth,2.111,4,1,/spielbericht/index/spielbericht/2467391,2014,Regionalliga Bayern
02.11.2014,18:00,Würzburger Kickers,B. München II,5.700,1,0,/spielbericht/index/spielbericht/2467398,2014,Regionalliga Bayern
08.11.2014,14:00,SV Schalding,Würzburger Kickers,1.073,1,2,/spielbericht/index/spielbericht/2467411,2014,Regionalliga Bayern
13.11.2014,18:30,Würzburger Kickers,Nürnberg II,2.610,2,0,/spielbericht/index/spielbericht/2467420,2014,Regionalliga Bayern
22.11.2014,14:00,FC Memmingen,Würzburger Kickers,861,1,1,/spielbericht/index/spielbericht/2467428,2014,Regionalliga Bayern
28.11.2014,19:00,W. Burghausen,Würzburger Kickers,1.100,0,0,/spielbericht/index/spielbericht/2467431,2014,Regionalliga Bayern
06.03.2015,19:00,Würzburger Kickers,SV Heimstetten,2.023,4,1,/spielbericht/index/spielbericht/2490606,2014,Regionalliga Bayern
15.03.2015,16:00,TSV Buchbach,Würzburger Kickers,963,0,0,/spielbericht/index/spielbericht/2490608,2014,Regionalliga Bayern
24.03.2015,20:15,Würzburger Kickers,Schweinfurt 05,5.407,2,0,/spielbericht/index/spielbericht/2490624,2014,Regionalliga Bayern
28.03.2015,15:00,1860 München II,Würzburger Kickers,2.250,0,1,/spielbericht/index/spielbericht/2490631,2014,Regionalliga Bayern
06.05.2015,18:00,Würzburger Kickers,FC Augsburg II,1.642,3,0,/spielbericht/index/spielbericht/2490634,2014,Regionalliga Bayern
11.04.2015,14:00,Ingolstadt II,Würzburger Kickers,300,1,1,/spielbericht/index/spielbericht/2490649,2014,Regionalliga Bayern
17.04.2015,19:00,Würzburger Kickers,FV Illertissen,2.110,2,1,/spielbericht/index/spielbericht/2490652,2014,Regionalliga Bayern
25.04.2015,19:00,Seligenporten,Würzburger Kickers,334,0,2,/spielbericht/index/spielbericht/2490668,2014,Regionalliga Bayern
29.04.2015,19:00,Würzburger Kickers,Eintr. Bamberg,1.737,1,0,/spielbericht/index/spielbericht/2490670,2014,Regionalliga Bayern
09.05.2015,14:00,VfR Garching,Würzburger Kickers,430,0,4,/spielbericht/index/spielbericht/2490685,2014,Regionalliga Bayern
16.05.2015,14:00,Würzburger Kickers,Gr. Fürth II,2.290,3,1,/spielbericht/index/spielbericht/2490691,2014,Regionalliga Bayern
23.05.2015,14:00,SpVgg Bayreuth,Würzburger Kickers,1.134,1,0,/spielbericht/index/spielbericht/2490712,2014,Regionalliga Bayern
27.05.2015,19:00,Saarbrücken,Würzburger Kickers,10.247,0,1,/spielbericht/index/spielbericht/2563733,2014,Aufstiegsrunde zur 3. Liga
31.05.2015,14:00,Würzburger Kickers,Saarbrücken,10.500,6,6,/spielbericht/index/spielbericht/2563734,2014,Aufstiegsrunde zur 3. Liga
17.08.2014,16:00,Würzburger Kickers,F. Düsseldorf,10.500,3,2,/spielbericht/index/spielbericht/2458328,2014,DFB-Pokal
29.10.2014,19:00,Würzburger Kickers,E. Braunschweig,11.240,0,1,/spielbericht/index/spielbericht/2488531,2014,DFB-Pokal
12.08.2014,18:30,FV Karlstadt,Würzburger Kickers,,0,10,/spielbericht/index/spielbericht/3289720,2014,Landespokal Bayern
22.08.2014,00:00,FC Reichenbach,Würzburger Kickers,,0,8,/spielbericht/index/spielbericht/3289562,2014,Landespokal Bayern
02.09.2014,17:45,SV Erlenbach,Würzburger Kickers,624,0,2,/spielbericht/index/spielbericht/2859844,2014,Landespokal Bayern
08.04.2015,18:30,W. Burghausen,Würzburger Kickers,850,8,9,/spielbericht/index/spielbericht/2859843,2014,Landespokal Bayern
22.04.2015,19:00,SpVgg Weiden,Würzburger Kickers,450,3,0,/spielbericht/index/spielbericht/2859838,2014,Landespokal Bayern
25.07.2015,14:00,Wehen Wiesbaden,Würzburger Kickers,2.234,0,0,/spielbericht/index/spielbericht/2584697,2015,3. Liga
01.08.2015,14:00,Würzburger Kickers,Dynamo Dresden,9.011,1,1,/spielbericht/index/spielbericht/2584931,2015,3. Liga
15.08.2015,14:00,Pr. Münster,Würzburger Kickers,7.125,0,0,/spielbericht/index/spielbericht/2584944,2015,3. Liga
22.08.2015,14:00,Würzburger Kickers,Sonnenhof-Gr.,5.507,0,1,/spielbericht/index/spielbericht/2584951,2015,3. Liga
25.08.2015,19:00,Stuttgart II,Würzburger Kickers,956,0,2,/spielbericht/index/spielbericht/2584962,2015,3. Liga
29.08.2015,14:00,Würzburger Kickers,Erzgebirge Aue,5.390,1,0,/spielbericht/index/spielbericht/2584971,2015,3. Liga
05.09.2015,14:00,Würzburger Kickers,Rot-Weiß Erfurt,6.337,0,0,/spielbericht/index/spielbericht/2584981,2015,3. Liga
12.09.2015,14:00,FSV Mainz 05 II,Würzburger Kickers,1.015,1,0,/spielbericht/index/spielbericht/2584989,2015,3. Liga
19.09.2015,14:00,Würzburger Kickers,Hallescher FC,3.950,0,1,/spielbericht/index/spielbericht/2585001,2015,3. Liga
22.09.2015,19:00,W. Bremen II,Würzburger Kickers,275,0,0,/spielbericht/index/spielbericht/2585007,2015,3. Liga
25.09.2015,19:00,Würzburger Kickers,Chemnitzer FC,5.501,1,1,/spielbericht/index/spielbericht/2585021,2015,3. Liga
03.10.2015,14:00,Fortuna Köln,Würzburger Kickers,1.754,0,3,/spielbericht/index/spielbericht/2585025,2015,3. Liga
17.10.2015,14:00,Würzburger Kickers,VfL Osnabrück,4.388,0,1,/spielbericht/index/spielbericht/2585041,2015,3. Liga
24.10.2015,14:00,Stuttg. Kickers,Würzburger Kickers,4.000,1,2,/spielbericht/index/spielbericht/2585053,2015,3. Liga
31.10.2015,14:00,Würzburger Kickers,VfR Aalen,4.395,2,2,/spielbericht/index/spielbericht/2585061,2015,3. Liga
07.11.2015,14:00,Hansa Rostock,Würzburger Kickers,9.050,0,0,/spielbericht/index/spielbericht/2585071,2015,3. Liga
21.11.2015,14:00,Würzburger Kickers,Energie Cottbus,4.178,2,2,/spielbericht/index/spielbericht/2585081,2015,3. Liga
28.11.2015,14:00,Holstein Kiel,Würzburger Kickers,4.807,1,2,/spielbericht/index/spielbericht/2585089,2015,3. Liga
05.12.2015,14:00,Würzburger Kickers,1.FC Magdeburg,5.617,1,1,/spielbericht/index/spielbericht/2585101,2015,3. Liga
12.12.2015,14:00,Würzburger Kickers,Wehen Wiesbaden,3.301,0,0,/spielbericht/index/spielbericht/2585107,2015,3. Liga
17.12.2015,20:30,Dynamo Dresden,Würzburger Kickers,25.775,2,1,/spielbericht/index/spielbericht/2585121,2015,3. Liga
17.02.2016,19:00,Würzburger Kickers,Pr. Münster,3.886,3,0,/spielbericht/index/spielbericht/2585134,2015,3. Liga
30.01.2016,14:00,Sonnenhof-Gr.,Würzburger Kickers,2.500,1,2,/spielbericht/index/spielbericht/2585141,2015,3. Liga
06.02.2016,14:00,Würzburger Kickers,Stuttgart II,3.751,0,0,/spielbericht/index/spielbericht/2585152,2015,3. Liga
14.02.2016,14:00,Erzgebirge Aue,Würzburger Kickers,6.000,0,0,/spielbericht/index/spielbericht/2585161,2015,3. Liga
21.02.2016,14:00,Rot-Weiß Erfurt,Würzburger Kickers,4.121,1,0,/spielbericht/index/spielbericht/2585171,2015,3. Liga
27.02.2016,14:00,Würzburger Kickers,FSV Mainz 05 II,3.503,1,0,/spielbericht/index/spielbericht/2585179,2015,3. Liga
01.03.2016,19:00,Hallescher FC,Würzburger Kickers,6.043,1,3,/spielbericht/index/spielbericht/2585191,2015,3. Liga
05.03.2016,14:00,Würzburger Kickers,W. Bremen II,3.721,1,1,/spielbericht/index/spielbericht/2585197,2015,3. Liga
12.03.2016,14:00,Chemnitzer FC,Würzburger Kickers,5.586,0,1,/spielbericht/index/spielbericht/2585211,2015,3. Liga
18.03.2016,19:00,Würzburger Kickers,Fortuna Köln,5.387,4,1,/spielbericht/index/spielbericht/2585215,2015,3. Liga
02.04.2016,14:00,VfL Osnabrück,Würzburger Kickers,10.295,1,1,/spielbericht/index/spielbericht/2585231,2015,3. Liga
09.04.2016,14:05,Würzburger Kickers,Stuttg. Kickers,5.422,2,1,/spielbericht/index/spielbericht/2585243,2015,3. Liga
15.04.2016,19:00,VfR Aalen,Würzburger Kickers,5.096,0,1,/spielbericht/index/spielbericht/2585251,2015,3. Liga
23.04.2016,14:00,Würzburger Kickers,Hansa Rostock,7.969,2,1,/spielbericht/index/spielbericht/2585261,2015,3. Liga
30.04.2016,14:00,Energie Cottbus,Würzburger Kickers,5.907,1,2,/spielbericht/index/spielbericht/2585271,2015,3. Liga
07.05.2016,13:30,Würzburger Kickers,Holstein Kiel,8.776,1,1,/spielbericht/index/spielbericht/2585279,2015,3. Liga
14.05.2016,13:45,1.FC Magdeburg,Würzburger Kickers,22.000,0,1,/spielbericht/index/spielbericht/2585291,2015,3. Liga
20.05.2016,19:10,Würzburger Kickers,MSV Duisburg,9.806,2,0,/spielbericht/index/spielbericht/2692035,2015,Relegation 2. Bundesliga
24.05.2016,19:10,MSV Duisburg,Würzburger Kickers,30.000,1,2,/spielbericht/index/spielbericht/2692036,2015,Relegation 2. Bundesliga
08.08.2015,15:30,Würzburger Kickers,Werder Bremen,9.706,0,2,/spielbericht/index/spielbericht/2576673,2015,DFB-Pokal
07.08.2016,15:30,E. Braunschweig,Würzburger Kickers,20.390,2,1,/spielbericht/index/spielbericht/2704216,2016,2. Bundesliga
14.08.2016,15:30,Würzburger Kickers,1.FC K'lautern,12.087,1,1,/spielbericht/index/spielbericht/2704303,2016,2. Bundesliga
26.08.2016,18:30,1.FC Heidenheim,Würzburger Kickers,11.100,1,2,/spielbericht/index/spielbericht/2704347,2016,2. Bundesliga
09.09.2016,18:30,Würzburger Kickers,VfL Bochum,10.473,2,0,/spielbericht/index/spielbericht/2704389,2016,2. Bundesliga
16.09.2016,18:30,Greuther Fürth,Würzburger Kickers,10.510,0,3,/spielbericht/index/spielbericht/2704289,2016,2. Bundesliga
21.09.2016,17:30,Würzburger Kickers,Union Berlin,10.148,0,1,/spielbericht/index/spielbericht/2704330,2016,2. Bundesliga
